license_number,business_name,license_group,business_licenses,license_type,physical_address,county,expiration_date,tier,canopy_type,indoor_canopy_sqft,outdoor_canopy_sqft,endorsement,sos_registration_number
050-1000076B368,DiamondTREE,Recreational Retailer,"Diamond Tree, Inc",Recreational Retailer,380 N HIGHWAY 26 MADRAS OR  97741-9599,Jefferson,2025-01-09,,,0,0,Medical Marijuana Retailer, 
050-1000080680D,The Joint On Market,Recreational Retailer,The Joint On Market Street  LLC,Recreational Retailer,3270 MARKET ST NE SALEM OR  97301-1815,Marion,2024-11-02,,,0,0,, 
050-1000100101A,Breeze Botanicals Gold Hill,Recreational Retailer,Sun Breeze Inc,Recreational Retailer,315 2ND AVE GOLD HILL OR  97525-9509,Jackson,2025-09-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10001263A2F,Vernonia's Natural Choice,Recreational Retailer,Vernonia's Natural Choice LLC,Recreational Retailer,736 BRIDGE ST UNIT 1 VERNONIA OR  97064-1285,Columbia,2024-10-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10001271938,Breeze Botanicals Ashland,Recreational Retailer,Sun Breeze Inc,Recreational Retailer,1526 SISKIYOU BLVD ASHLAND OR  97520-2406,Jackson,2025-09-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1000146ACE7,Happy Leaf,Recreational Retailer,Pacific Eclipse NW LLC,Recreational Retailer,1301 NE BROADWAY ST PORTLAND OR  97232-1235,Multnomah,2024-12-11,,,0,0,, 
050-10001534ACF,Silver Stem Fine Cannabis,Recreational Retailer,JIMS LLC,Recreational Retailer,12240 N JANTZEN DR PORTLAND OR  97217-8137,Multnomah,2024-12-31,,,0,0,, 
050-1000162E337,Oregon's Finest,Recreational Retailer,Oregon Resources Trading LLC,Recreational Retailer,505 NE GRAND AVE PORTLAND OR  97232-2726,Multnomah,2024-09-30,,,0,0,, 
050-1000163439B,Gorge Greenery,Recreational Retailer,Green Girls Hood River Inc,Recreational Retailer,13 OAK ST HOOD RIVER OR  97031-2384,Hood River,2025-09-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10001759551,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,3350 NE SANDY BLVD PORTLAND OR  97232-1927,Multnomah,2024-12-29,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10001832DA7,Pipe Dreams Dispensary,Recreational Retailer,Green Genes Inc,Recreational Retailer,"1745 SW HIGHWAY 101 STE A B & C, LINCOLN CITY OR  97367-2354",Lincoln,2024-12-30,,,0,0,, 
050-1000200318F,Madrone Cannabis Club,Recreational Retailer,481 Retail LLC,Recreational Retailer,481 APPLEGATE WAY ASHLAND OR  97520-9303,Jackson,2024-12-28,,,0,0,, 
050-1000206828A,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,4142 LIBERTY RD S SALEM OR  97302-5783,Marion,2024-09-14,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10002248531,Growing ReLeaf,Recreational Retailer,Growing ReLeaf Inc.,Recreational Retailer,4160 SW 109TH AVE BEAVERTON OR  97005-3029,Washington,2024-12-31,,,0,0,, 
050-1000235878E,Club Sky High,Recreational Retailer,TR Jones LLC,Recreational Retailer,8957 N LOMBARD ST PORTLAND OR  97203-3003,Multnomah,2024-12-22,,,0,0,, 
050-1000236A6D2,The Dispensary on 52nd,Recreational Retailer,Dicot  Derby Farms LLC,Recreational Retailer,4452 SE 52ND AVE PORTLAND OR  97206-3922,Multnomah,2024-12-13,,,0,0,, 
050-10002659379,Emerald City Medicinal,Recreational Retailer,"Emerald City Medicinal Delivery Service, LLC",Recreational Retailer,1474 W 6TH AVE EUGENE OR  97402-4369,Lane,2024-09-30,,,0,0,, 
050-100028766B5,New Leaf Midtown,Recreational Retailer,Valley Health LLC,Recreational Retailer,2215 NE EVANS ST MCMINNVILLE OR  97128-2703,Yamhill,2024-12-31,,,0,0,, 
050-1000345DEA9,NoDak Green Prairie,Recreational Retailer,"NoDak Enterprises, LLC",Recreational Retailer,"390 COBURG RD STE A2, EUGENE OR  97401-6100",Lane,2024-11-30,,,0,0,, 
050-100035555F6,The Herbal Connection,Recreational Retailer,The Herbal Centre LLC,Recreational Retailer,463 RIVER AVE EUGENE OR  97404-3541,Lane,2024-12-31,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1000360C340,Tokyo Starfish,Recreational Retailer,"Tokyo Starfish 1, Inc.",Recreational Retailer,542 NW ARIZONA AVE BEND OR  97703-3258,Deschutes,2024-12-12,,,0,0,, 
050-1000365F3DF,Green Goddess Remedies,Recreational Retailer,BAS Enterprises LLC,Recreational Retailer,5435 SW TAYLORS FERRY RD PORTLAND OR  97219-5880,Multnomah,2024-11-08,,,0,0,, 
050-100037147CC,Cookies,Recreational Retailer,Hotbox Farms LLC,Recreational Retailer,2317 NW 11TH ST ONTARIO OR  97914-1157,Malheur,2024-10-17,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1000396C575,Kind Heart Collective,Recreational Retailer,Kind Heart Collective,Recreational Retailer,8217 N DENVER AVE PORTLAND OR  97217-6623,Multnomah,2025-01-01,,,0,0,, 
050-100041086CC,Hood River Naturals,Recreational Retailer,Hood River Naturals llc,Recreational Retailer,"1020 WASCO ST STE K, HOOD RIVER OR  97031-1159",Hood River,2024-12-29,,,0,0,, 
050-10004429B31,Oregon's Green Rush,Recreational Retailer,"Simplee Green, LLC",Recreational Retailer,2644 River Rd Ste 5 Eugene OR  97404-,Lane,2024-12-22,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1000459CA6F,Evergreen Hood River,Recreational Retailer,IRRU INVESTMENTS LLC,Recreational Retailer,1408 13TH ST HOOD RIVER OR  97031-1616,Hood River,2024-11-20,,,0,0,, 
050-10004797E23,Greeley Gallery,Recreational Retailer,Greeley Gallery LLC,Recreational Retailer,6512 N GREELEY AVE PORTLAND OR  97217-5044,Multnomah,2024-12-31,,,0,0,, 
050-10006222890,The Holistic Coop LLC,Recreational Retailer,The Holistic Coop LLC,Recreational Retailer,1049 E MAIN ST COTTAGE GROVE OR  97424-2231,Lane,2024-11-16,,,0,0,, 
050-1000628466D,Amazon Organics,Recreational Retailer,AO Oregon LLC,Recreational Retailer,3443 HILYARD ST EUGENE OR  97405-3881,Lane,2025-01-01,,,0,0,, 
050-10006476DA7,Oregon Bud Company,Recreational Retailer,Oregon Bud Company LLC,Recreational Retailer,16631 SE 82ND DR CLACKAMAS OR  97015-8574,Clackamas,2025-01-10,,,0,0,, 
050-1000651584B,Oregon Bud Company,Recreational Retailer,Oregon Bud Company LLC,Recreational Retailer,3450 RIVER RD N KEIZER OR  97303-5626,Marion,2025-01-10,,,0,0,, 
050-1000652B6CC,Oregon Bud Company LLC,Recreational Retailer,Oregon Bud Company LLC,Recreational Retailer,"3270 SW CEDAR HILLS BLVD BLVD 104, BEAVERTON OR  97005-1308",Washington,2025-01-10,,,0,0,, 
050-10006568A0C,Oregon Bud Company,Recreational Retailer,Oregon Bud Company LLC,Recreational Retailer,1155 SW COAST HWY NEWPORT OR  97365-5223,Lincoln,2025-01-10,,,0,0,, 
050-100069626B0,Oregon Farmacy,Recreational Retailer,Emerald Corner Corp.,Recreational Retailer,1 W 6TH ST MEDFORD OR  97501-2732,Jackson,2025-04-27,,,0,0,Medical Marijuana Retailer, 
050-10007012B21,La Mota,Recreational Retailer,AMJWAF LLC / Rosa Cazares,Recreational Retailer,4999 NE 99TH AVE PORTLAND OR  97220-3377,Multnomah,2024-11-07,,,0,0,, 
050-100077728CC,La Mota,Recreational Retailer,La Mota,Recreational Retailer,7435 SE 52ND AVE PORTLAND OR  97206-8206,Multnomah,2024-11-03,,,0,0,, 
050-1000779DEF8,La Mota,Recreational Retailer,La Mota 3 LLC,Recreational Retailer,644 SE CASS AVE ROSEBURG OR  97470-3155,Douglas,2024-11-08,,,0,0,, 
050-10007839141,Budlandia,Recreational Retailer,Everett Holdings LLC,Recreational Retailer,"16440 SE DIVISION ST STE B, PORTLAND OR  97236-1932",Multnomah,2024-12-30,,,0,0,, 
050-10008176667,satchel,Recreational Retailer,"DNF Enterprises, Inc.",Recreational Retailer,6900 N INTERSTATE AVE PORTLAND OR  97217-5458,Multnomah,2024-11-02,,,0,0,, 
050-1000821199B,Alternative Remedies,Recreational Retailer,"Alternative Remedies, LLC",Recreational Retailer,8109 SE FLAVEL ST PORTLAND OR  97206-7822,Multnomah,2025-04-04,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10008384059,Miracle Greens,Recreational Retailer,"Miracle Greens, Inc",Recreational Retailer,905 SE 3RD ST BEND OR  97702-1748,Deschutes,2024-11-06,,,0,0,, 
050-10008629837,Hi Cascade,Recreational Retailer,"Hi Cascade #2, LLC",Recreational Retailer,"5070 COMMERCIAL ST SE 115 AND 120, SALEM OR  97306-3573",Marion,2024-12-31,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10008693DF6,La Mota,Recreational Retailer,AMCM LLC,Recreational Retailer,158 S HIGHWAY 101 ROCKAWAY BEACH OR  97136-,Tillamook,2024-10-30,,,0,0,, 
050-100088728CB,Livewell Cannabis,Recreational Retailer,Livewell INC,Recreational Retailer,696 HAWTHORNE AVE NE SALEM OR  97301-4561,Marion,2025-04-13,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-100089293F9,Archive Portland,Recreational Retailer,AMF I LLC,Recreational Retailer,"10645 SE HENRY ST STE B, PORTLAND OR  97266-4200",Multnomah,2025-01-17,,,0,0,, 
050-1000929AF4B,Oregon's Herbal Remedies,Recreational Retailer,Oregon's Herbal Remedies LLC,Recreational Retailer,88344 TERRITORIAL RD VENETA OR  97487-9486,Lane,2024-12-31,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1000954D8AD,Eugene OG,Recreational Retailer,"Eugene OG, LLC",Recreational Retailer,2045 FRANKLIN BLVD EUGENE OR  97403-2078,Lane,2024-12-30,,,0,0,, 
050-10009611DA7,Jamaica Joel's,Recreational Retailer,Jamaica Joel's Inc,Recreational Retailer,37 W 13TH AVE EUGENE OR  97401-3574,Lane,2024-11-02,,,0,0,, 
050-10009640876,Alternative Solutions,Recreational Retailer,"Alternative Solutions 1, Corp",Recreational Retailer,13560 SE POWELL BLVD PORTLAND OR  97236-3338,Multnomah,2024-04-03,,,0,0,, 
050-10009873CDF,West Salem Cannabis,Recreational Retailer,Cowgirl Cannabis LLC,Recreational Retailer,"2625 SALEM DALLAS HWY NW STE 100, SALEM OR  97304-4514",Polk,2024-12-19,,,0,0,, 
050-100099996CC,Mr. Nice Guy Holgate,Recreational Retailer,"Hi Cascade, LLC",Recreational Retailer,11030 SE HOLGATE BLVD PORTLAND OR  97266-3404,Multnomah,2024-12-30,,,0,0,,81-0832486
050-10010004FFE,Mr. Nice Guy Veneta,Recreational Retailer,"Hi Cascade #3, LLC",Recreational Retailer,25561 HIGHWAY 126 VENETA OR  97487-9648,Lane,2024-12-30,,,0,0,, 
050-10010041E88,Mr. Nice Guy Depoe,Recreational Retailer,"Serene Highness, LLC",Recreational Retailer,104 N HIGHWAY 101 DEPOE BAY OR  97341-,Lincoln,2024-12-30,,,0,0,,01679458-7
050-10010057BC0,Mr. Nice Guy Waldport,Recreational Retailer,"Serene Highness #2, LLC",Recreational Retailer,220 NW Alsea Hwy # 34 WALDPORT OR  97394-,Lincoln,2024-12-30,,,0,0,,01679460-3
050-10010073418,Good Karma,Recreational Retailer,"Good Karma Springfield, LLC",Recreational Retailer,3332 MAIN ST STE A SPRINGFIELD OR  97478-7800,Lane,2024-12-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer",1679641-6
050-10010193FDD,"Cannabis, LLC",Recreational Retailer,Green Leaf Resale & Consignment LLC,Recreational Retailer,1936 MAIN ST SPRINGFIELD OR  97477-5054,Lane,2024-12-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10010393593,Kaya Shack,Recreational Retailer,"MJAI Oregon 1, LLC",Recreational Retailer,1719 SE HAWTHORNE BLVD PORTLAND OR  97214-3722,Multnomah,2025-05-01,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1001106576F,Kaleafa,Recreational Retailer,WWMP LLC,Recreational Retailer,5232 SE WOODSTOCK BLVD PORTLAND OR  97206-6823,Multnomah,2024-12-30,,,0,0,, 
050-10011855BAC,High Tide Wellness Center,Recreational Retailer,High Tide Wellness Center LLC,Recreational Retailer,15957 Highway 101 S Ste 4 HARBOR OR  97415-,Curry,2024-12-21,,,0,0,, 
050-100136209F4,La Mota,Recreational Retailer,La Mota 6 LLC,Recreational Retailer,17 S RIVERSIDE AVE MEDFORD OR  97501-7232,Jackson,2025-01-03,,,0,0,, 
050-10013642BA6,La Mota,Recreational Retailer,La Mota 7 LLC,Recreational Retailer,257 2ND ST DRAIN OR  97435-,Douglas,2024-12-28,,,0,0,, 
050-1001367CE42,La Mota,Recreational Retailer,La Mota 8 LLC,Recreational Retailer,3695 SW ELLIOTT PL BEAVERTON OR  97003-5139,Washington,2024-12-27,,,0,0,, 
050-100137839DD,Green Cross Cannabis Emporium,Recreational Retailer,"TLC Medical, Inc.",Recreational Retailer,4550 COMMERCIAL ST SE SALEM OR  97302-3983,Marion,2025-09-30,,,0,0,Medical Marijuana Retailer,1721081-1
050-10013998C72,Pacific Wave,Recreational Retailer,Kelly  Lynn Hutson,Recreational Retailer,"1543 NW 19TH ST STE B, LINCOLN CITY OR  97367-3818",Lincoln,2024-11-30,,,0,0,, 
050-10014652EE2,Green Dragon Herbal Clinic,Recreational Retailer,"Green Dragon Herbal Clinic, LLC",Recreational Retailer,185 N MAIN ST TOLEDO OR  97391-1535,Lincoln,2024-12-05,,,0,0,, 
050-100149904F1,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,10931 SW 53RD AVE PORTLAND OR  97219-8605,Multnomah,2025-01-02,,,0,0,, 
050-100150093E2,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,4125 N MISSISSIPPI AVE PORTLAND OR  97217-3130,Multnomah,2024-12-22,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-100157201FF,"OG Collective, LLC",Recreational Retailer,"OG Collective, LLC and OG Leasing, LLC",Recreational Retailer,3537 COMMERCIAL ST SE SALEM OR  97302-3829,Marion,2025-01-31,,,0,0,, 
050-1001576D112,Rogue River Herbal PMC,Recreational Retailer,Sheryl Rabitoy,Recreational Retailer,510 E MAIN ST ROGUE RIVER OR  97537-9615,Jackson,2025-01-29,,,0,0,, 
050-10015902FDC,Portland Best Buds,Recreational Retailer,PBB Retail LLC,Recreational Retailer,"6313 N LOMBARD ST STE B, PORTLAND OR  97203-4114",Multnomah,2024-11-28,,,0,0,, 
050-1001606EE83,Serra Belmont,Recreational Retailer,GW Retail Belmont Inc,Recreational Retailer,2519 SE BELMONT ST PORTLAND OR  97214-2822,Multnomah,2024-12-12,,,0,0,, 
050-100164832B5,Cannabis Nation Beaverton,Recreational Retailer,CBN Inc,Recreational Retailer,15915 NW Schendel Ave Ste 104 BEAVERTON OR  97006-,Washington,2024-12-27,,,0,0,, 
050-1001649DE75,Top Shelf Cannabis,Recreational Retailer,top shelf cannabis Incorporated,Recreational Retailer,"353 SE BAKER ST STE C, MCMINNVILLE OR  97128-6039",Yamhill,2024-12-30,,,0,0,, 
050-100167455A3,M Thrive Organics LLC,Recreational Retailer,M Thrive Organics LLC,Recreational Retailer,3226 W 2ND ST THE DALLES OR  97058-4122,Wasco,2024-11-20,,,0,0,, 
050-1001702682A,Electric Lettuce Lloyd District,Recreational Retailer,GW Retail Weidler Inc.,Recreational Retailer,203 NE WEIDLER ST PORTLAND OR  97232-1155,Multnomah,2025-04-05,,,0,0,, 
050-1001843EA13,The Lucky Leaf,Recreational Retailer,The Lucky Leaf LLC,Recreational Retailer,208 JERSEY ST SILVERTON OR  97381-1627,Marion,2024-12-30,,,0,0,, 
050-10018957EDE,"OG Collective, LLC",Recreational Retailer,"OG Collective, LLC and OG Leasing, LLC",Recreational Retailer,3410 HAWTHORNE AVE NE SALEM OR  97301-7732,Marion,2024-12-30,,,0,0,, 
050-10020141411,Cannabis Nation Gresham,Recreational Retailer,GreshamGold Inc,Recreational Retailer,1500 NE DIVISION ST GRESHAM OR  97030-4254,Multnomah,2024-10-05,,,0,0,, 
050-10020483760,Cannabis Nation - Seaside,Recreational Retailer,SSCN Inc,Recreational Retailer,550 S ROOSEVELT DR SEASIDE OR  97138-6748,Clatsop,2024-12-28,,,0,0,, 
050-10020753B7D,Electric Lettuce- Woodlawn,Recreational Retailer,GW Retail 220 SW 1st Inc.,Recreational Retailer,909 NE DEKUM ST PORTLAND OR  97211-3678,Multnomah,2024-09-30,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10022589CE7,Plantae,Recreational Retailer/Wholesaler,DH Wholesale LLC / Plantae Health Care LLC,Recreational Retailer,2115 NE HIGHWAY 20 BEND OR  97701-7044,Deschutes,2025-01-09,,,0,0,, 
050-1002260AA4F,The Green Planet,Recreational Retailer,"The Green Planet, Inc.",Recreational Retailer,10100 SW CANYON RD BEAVERTON OR  97005-1900,Washington,2024-12-27,,,0,0,, 
050-100236001BA,THE GREEN FRONT,Recreational Retailer,JTWLLC,Recreational Retailer,6834 NE GLISAN ST PORTLAND OR  97213-5556,Multnomah,2024-12-18,,,0,0,, 
050-10023615819,Thurman Street Collective,Recreational Retailer,THURMAN STREET GALLERY LLC,Recreational Retailer,2384 NW THURMAN ST PORTLAND OR  97210-2521,Multnomah,2024-12-31,,,0,0,, 
050-100241747B3,Electric Lettuce Cedar Hills,Recreational Retailer,"GW Retail Marlow, Inc.",Recreational Retailer,1450 SW MARLOW AVE PORTLAND OR  97225-5145,Washington,2025-01-05,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10024220915,Kings of Canna,Recreational Retailer,KJK Enterprises LLC,Recreational Retailer,"1465 NE PRESCOTT ST APT C, PORTLAND OR  97211-5177",Multnomah,2024-11-28,,,0,0,, 
050-1002423E8DA,The Joint on State,Recreational Retailer,Ancient Remedies LLC,Recreational Retailer,2350 STATE ST SALEM OR  97301-4542,Marion,2024-11-02,,,0,0,, 
050-1002483A9C1,The Green Planet,Recreational Retailer,"The Green Planet, Inc.",Recreational Retailer,15080 SE MCLOUGHLIN BLVD MILWAUKIE OR  97267-2825,Clackamas,2024-11-22,,,0,0,, 
050-10024934771,Medicine Tree LLC,Recreational Retailer,Medicine Tree LLC,Recreational Retailer,2046 NE Highway 99W Ste A MCMINNVILLE  OR  97128-,Yamhill,2024-12-28,,,0,0,, 
050-10025514D43,Sweet Relief Natural Medicine,Recreational Retailer,G. O. Enterprises LLC,Recreational Retailer,1444 COMMERCIAL ST ASTORIA OR  97103-3815,Clatsop,2024-12-31,,,0,0,, 
050-1002555FF29,Sweet Relief Tillamook,Recreational Retailer,G. O. Enterprises LLC,Recreational Retailer,1906 1ST ST TILLAMOOK OR  97141-2204,Tillamook,2024-12-31,,,0,0,, 
050-10025563EE3,Sweet Relief St. Helens,Recreational Retailer,G. O. Enterprises LLC,Recreational Retailer,1809 COLUMBIA BLVD SAINT HELENS OR  97051-6220,Columbia,2024-12-29,,,0,0,, 
050-10025655A62,The Medication Station,Recreational Retailer,"The Medication Station, Inc.",Recreational Retailer,454 SW COAST HWY NEWPORT OR  97365-4930,Lincoln,2024-12-27,,,0,0,, 
050-1002566EF10,The Medication Station,Recreational Retailer,"The Medication Station, Inc.",Recreational Retailer,1041 HIGHWAY 99 COTTAGE GROVE OR  97424-,Lane,2024-12-27,,,0,0,, 
050-10026091C87,"Green Mart, LLC",Recreational Retailer,"Green Mart, LLC",Recreational Retailer,12745 SW WALKER RD STE 100A BEAVERTON OR  97005-1318,Washington,2024-10-13,,,0,0,Medical Marijuana Retailer, 
050-10026282919,Fireside Dispensary,Recreational Retailer,"Fireside Dispensary, Inc.",Recreational Retailer,4149 S PACIFIC HWY MEDFORD OR  97501-9100,Jackson,2023-12-18,,,0,0,, 
050-1002683515A,La Mota,Recreational Retailer,La Mota 9 LLC,Recreational Retailer,1291 W 7TH AVE EUGENE OR  97402-4529,Lane,2025-02-12,,,0,0,, 
050-1002710CD3B,Emerald City Dispensary,Recreational Retailer,Oregon Emerald City LLC,Recreational Retailer,50414 COLUMBIA RIVER HWY SCAPPOOSE OR  97056-4312,Columbia,2025-03-19,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-10027156F6D,Cannabend,Recreational Retailer,"Cannabend, LLC",Recreational Retailer,3312 N HIGHWAY 97 BEND OR  97703-7518,Deschutes,2024-12-31,,,0,0,,1588834-5
050-10027689736,FLOWR OF LYFE,Recreational Retailer,FLOWR OF LYFE LLC,Recreational Retailer,114 W BROADWAY EUGENE OR  97401-3004,Lane,2024-12-27,,,0,0,, 
050-1002834A6BC,Oregon Coast Cannabis,Recreational Retailer,"Nehalem Bay Wellness, Ltd.",Recreational Retailer,868 LANEDA AVE MANZANITA OR  97130,Tillamook,2023-12-31,,,0,0,, 
050-1002850B56E,Buds 4 U,Recreational Retailer,BUDS4U LLC,Recreational Retailer,1480 RHODODENDRON DR FLORENCE OR  97439-7620,Lane,2024-12-28,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1002874797E,Green Man Collective,Recreational Retailer,"Green Man Collective, LLC",Recreational Retailer,"675 NEHALEM BLVD STE A, WHEELER OR  97147",Tillamook,2025-01-22,,,0,0,, 
050-10028857D5D,Apothca,Recreational Retailer,AC Eugene LLC,Recreational Retailer,1205 ALDER ST EUGENE OR  97401-3712,Lane,2025-01-17,,,0,0,, 
050-100289392BD,Oregon Weedery,Recreational Retailer,"Health Awareness Group, LLC",Recreational Retailer,2327 NW KEARNEY ST PORTLAND OR  97210-3015,Multnomah,2024-11-01,,,0,0,, 
050-100297375C8,Green Room,Recreational Retailer,COPR Incorporated,Recreational Retailer,2521 NW 9TH ST CORVALLIS OR  97330-1536,Benton,2024-12-28,,,0,0,, 
050-1002983CE7E,La Mota,Recreational Retailer,La Mota Hollywood LLC & Rosa Cazares,Recreational Retailer,"4450 NE SANDY BLVD AND 4460 NE SANDY BLVD, PORTLAND OR  97213-1436",Multnomah,2024-04-24,,,0,0,, 
050-1003040668A,AmeriCanna Rx,Recreational Retailer,THE 5 OF US LLC.,Recreational Retailer,8654 NE SANDY BLVD PORTLAND OR  97220-4904,Multnomah,2025-11-13,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1003171DF64,Oregon Coast Dispensary Inc,Recreational Retailer,Oregon Coast Dispensary Inc,Recreational Retailer,861 A NW BEACH DR NEWPORT OR  97365-3548,Lincoln,2025-01-01,,,0,0,, 
050-10032418898,Green Ridge Apothecary,Recreational Retailer,Danielle Marie Klaus-Bailey,Recreational Retailer,106 NE 8TH ST MCMINNVILLE OR  97128-4910,Yamhill,2024-10-03,,,0,0,, 
050-1003244C082,TRULY PURE,Recreational Retailer,TRULY PURE LLC,Recreational Retailer,"1006 SE GRAND AVE STE 104, PORTLAND OR  97214-2330",Multnomah,2025-03-20,,,0,0,, 
050-10032511404,Oregon's Best Buds,Recreational Retailer,"Oregon's Best Meds, LLC",Recreational Retailer,10128 E BURNSIDE ST PORTLAND OR  97216-2335,Multnomah,2024-01-08,,,0,0,, 
050-10032676561,Hijinx Cannabis Co,Recreational Retailer,"3LB Retail, LLC",Recreational Retailer,3943 S PACIFIC HWY MEDFORD OR  97501-9069,Jackson,2024-01-12,,,0,0,, 
050-10032789CAF,Canna Bros.,Recreational Retailer,Riverglass Shop LLC,Recreational Retailer,"2316 E PORTLAND RD STE C2, NEWBERG OR  97132-5402",Yamhill,2025-01-19,,,0,0,, 
050-1003305612E,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,340 RIVER RD EUGENE OR  97404-3239,Lane,2024-12-30,,,0,0,, 
050-1003306A6B6,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,505 NW BURNSIDE RD GRESHAM OR  97030-3741,Multnomah,2024-10-11,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-1003307ED92,Nectar,Recreational Retailer,"Nectar Markets, LLC",Recreational Retailer,575 MAIN AVE N TILLAMOOK OR  97141-9211,Tillamook,2024-10-25,,,0,0,"Marijuana Home Delivery, Medical Marijuana Retailer", 
050-100331502C1,Beaver Bowls,Recreational Retailer,Omnific Sol Limited,Recreational Retailer,227 SW 6TH ST CORVALLIS OR  97333-4616,Benton,2025-01-01,,,0,0,, 
050-1003343AD7E,Natural Wonders,Recreational Retailer,Natural Wonders LLC,Recreational Retailer,3831 SE MAIN ST PORTLAND OR  97214-4332,Multnomah,2025-01-12,,,0,0,, 
050-10033590195,Canna Bros.,Recreational Retailer,Riverglass Shop LLC,Recreational Retailer,1210 W MAIN ST SHERIDAN OR  97378,Yamhill,2025-06-19,,,0,0,Medical Marijuana Retailer, 
050-1003361BA17,Herbal Choices,Recreational Retailer,"HC Retail, Inc.",Recreational Retailer,63247 TROLLER RD COOS BAY OR  97420,Coos,2024-12-31,,,0,0,Medical Marijuana Retailer, 
